address,b_mianji,chaoxiang,dianti,display_total_price,gongnuan,huxing,huxing_jiegou,jianzhu_jiegou,jianzhu_leixing,louceng,niandai,sold_date,sold_total_price,t_mianji,traffic,unit_price,zhuangxiu
西晴公寓,91.1㎡          ,西南   ,有           ,790挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,暂无数据              ,钢混结构  ,板塔结合       ,中楼层(共21层)          ,2000 ,2019.01.06 成交,740万,70㎡         ,,81230元/平,其他     
厂洼西街6号院,107.78㎡          ,东 南   ,有           ,1208挂牌价格（万）,集中供暖        ,3室1厅1厨1卫        ,平层              ,钢混结构  ,板塔结合       ,低楼层(共16层)          ,2005 ,2019.01.06 成交,1150万,暂无数据         ,近地铁,106699元/平,精装     
四方景园二区,99.27㎡          ,东南 西北   ,有           ,450挂牌价格（万）,自供暖        ,2室1厅1厨1卫        ,平层              ,钢混结构  ,板塔结合       ,底层(共16层)          ,2006 ,2019.01.06 成交,430万,80.53㎡         ,近地铁,43317元/平,精装     
万年花城二期,46.97㎡          ,北   ,有           ,310挂牌价格（万）,集中供暖        ,1室1厅1厨1卫        ,平层              ,钢混结构  ,塔楼       ,低楼层(共27层)          ,2006 ,2019.01.06 成交,305万,37.25㎡         ,近地铁,64936元/平,精装     
兰园,71.67㎡          ,南 北   ,无           ,535挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,中楼层(共6层)          ,1998 ,2019.01.06 成交,515万,暂无数据         ,近地铁,71858元/平,简装     
澳林春天二期,104.48㎡          ,西南   ,有           ,780挂牌价格（万）,集中供暖        ,2室2厅1厨1卫        ,平层              ,钢混结构  ,塔楼       ,高楼层(共24层)          ,2000 ,2019.01.06 成交,730万,85.87㎡         ,,69870元/平,简装     
宝隆温泉公寓,61.12㎡          ,东   ,有           ,268挂牌价格（万）,集中供暖        ,1室1厅1厨1卫        ,平层              ,钢混结构  ,塔楼       ,中楼层(共31层)          ,2000 ,2019.01.06 成交,253万,49㎡         ,近地铁,41394元/平,简装     
长安新城一区,139.8㎡          ,南 北   ,有           ,765挂牌价格（万）,自供暖        ,3室2厅1厨2卫        ,平层              ,钢混结构  ,板楼       ,低楼层(共17层)          ,2004 ,2019.01.06 成交,685万,115.59㎡         ,暂无数据,48999元/平,简装     
新街口西里一区,84.48㎡          ,南 北   ,无           ,1010挂牌价格（万）,自供暖        ,3室1厅1厨1卫        ,平层              ,钢混结构  ,板楼       ,中楼层(共6层)          ,2003 ,2019.01.06 成交,1000万,74.69㎡         ,近地铁,118372元/平,精装     
金蝉北里,65.28㎡          ,南 北   ,无           ,330挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,低楼层(共6层)          ,1994 ,2019.01.06 成交,310万,44.44㎡         ,近地铁,47488元/平,精装     
金顶阳光,88.66㎡          ,南   ,有           ,450挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,钢混结构  ,板楼       ,中楼层(共21层)          ,2009 ,2019.01.06 成交,428万,70.94㎡         ,近地铁,48275元/平,精装     
文兴东街5号院,55.7㎡          ,南   ,暂无数据           ,630挂牌价格（万）,暂无数据        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,中楼层(共6层)          ,1979 ,2019.01.06 成交,601万,38.9㎡         ,近地铁,107900元/平,简装     
西山枫林一二期,85.81㎡          ,东南   ,有           ,475挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,钢混结构  ,板楼       ,高楼层(共10层)          ,2005 ,2019.01.06 成交,460万,72.73㎡         ,暂无数据,53607元/平,精装     
东山坡一里,62.1㎡          ,南 北   ,暂无数据           ,205挂牌价格（万）,暂无数据        ,2室1厅1厨1卫        ,暂无数据              ,混合结构  ,板楼       ,底层(共6层)          ,1990 ,2019.01.06 成交,196万,暂无数据         ,暂无数据,31562元/平,简装     
天露园二区,97.32㎡          ,南 北   ,无           ,425挂牌价格（万）,自供暖        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,顶层(共6层)          ,2008 ,2019.01.06 成交,410万,88.35㎡         ,,42130元/平,精装     
